,a,b
10626,0.24605793912724605,0.0003124581624773584
10641,0.226002020882452,0.001996044898199444
10655,0.26149649259547936,0.0005195018595350992
10688,0.23637164244826067,0.0
10698,0.23212972972972973,0.0
10713,0.19326732673267327,0.0
10715,0.1989179574594234,0.00037257824143070045
10724,0.18875487886353248,0.0
10728,0.19326732673267327,0.0
10749,0.1966012305889247,1.284192251705005e-05
10750,0.18270310745039312,0.00037257824143070045
10754,0.25748273215656176,0.0
10758,0.22304400216063489,0.0
10768,0.2152365677626303,5.098048232848824e-05
10791,0.2891773958950601,0.00872754980769002
10796,0.19803733490740058,0.0
10808,0.2215892672858617,0.000807688711143628
10810,0.2447565201532008,0.00028615819299848103
10836,0.2599263993802053,0.0009564812146149522
10842,0.20885534199673178,0.0
10898,0.1951219512195122,0.0
10900,0.198866372763309,0.0
10906,0.26481180010852945,0.0008592816327666011
10921,0.18560265541802087,0.0
10922,0.21731033924378593,0.00037257824143070045
10927,0.23637164244826067,0.0
10964,0.2080297628274686,0.0
10967,0.18661567877629062,0.0
10970,0.23520133198965956,0.0
10972,0.2944758352076362,0.007156765358972235
10991,0.1930310331187745,0.0
10996,0.18930070176675953,0.0
11009,0.2593111443891599,4.0318938731144436e-05
11010,0.23670517682335304,0.00037257824143070045
11015,0.2243209360635186,0.0
11024,0.2304456083111531,0.0006276875669571487
11048,0.24053412196979881,0.0010146426059122963
11056,0.19242902208201892,0.0
11061,0.2379327157484154,0.001568524410343307
11064,0.1903748625740327,0.0
11088,0.2313793103448276,0.0
11105,0.24923391215526047,0.0009865637507104792
11106,0.2616621983914209,0.0
11108,0.2410742354156375,0.00021908645876352623
11142,0.2489334075310703,0.0008355869935161702
11159,0.2526236528777825,0.0002810411899659346
11164,0.17382856772772903,0.0
11179,0.2819031614326226,0.0017890036708907199
11209,0.26920762286860583,0.0017205987511643853
11250,0.21383046526449967,0.0
11257,0.26542721518987344,0.0030270171210757474
11300,0.20360326190024655,2.6205597055911564e-05
11362,0.21293137643792145,0.0
11369,0.2134054225968037,0.0
11381,0.27505636400901823,0.0008604192824329797
11383,0.23146910439394594,4.885484425739026e-05
11397,0.15728098447113975,0.00037257824143070045
11405,0.25748273215656176,0.0
11428,0.22571692876965774,1.7013260653652587e-05
11451,0.22300693780898176,0.0
11459,0.2118306302040172,0.0
11513,0.23576950105411104,0.0007776327818665568
11519,0.20135789039348811,5.106927520214519e-05
11523,0.18015236433197973,0.0007450176424509553
11566,0.2523030644858056,0.00037257824143070045
11572,0.2264787781621804,0.0
11581,0.24199801640970156,0.00013675532864837963
11591,0.19522839685772475,0.0017211976716083714
11621,0.236257206989129,0.00023458456924254972
11624,0.1976581486118271,7.2636885837779254e-06
11667,0.20817497867059645,8.953357556102938e-05
11713,0.22373192181052806,4.238093583805966e-05
11715,0.23399154352469378,0.0
11721,0.22941151331253473,0.00037257824143070045
11722,0.25792811839323465,5.499361957217486e-05
11797,0.2358420104564826,0.0
11803,0.2093440449262928,0.0
11817,0.21601609657947687,0.00016942235959746307
11819,0.18138199020104748,0.0
11830,0.18117384994431132,0.0
11840,0.24428870483298443,0.0001321677036917925
11897,0.298421169668668,0.010704660606357913
11903,0.23866263560377024,0.00037529120234190423
11904,0.2190573352377066,0.0011205845275122166
11941,0.19495895983148107,0.0
11954,0.18626600506610222,7.548347646722039e-06
11982,0.1616867469879518,0.0
11988,0.24827713796771658,0.0017924056698291895
11992,0.21936169343304318,8.696980937739761e-05
12018,0.16609938733832538,0.0
12031,0.21385602167244333,1.3757420603140289e-05
12042,0.2554609051539523,0.0012015928542029324
12056,0.25951172347111434,0.0
12116,0.23207955036748812,0.0018167472443652434
12138,0.20729870631396022,0.0
12139,0.27380770211680694,0.005135695285624754
12222,0.16919876442034923,0.0
12254,0.24288493733315233,2.7490553471911202e-05
12261,0.2295684899285806,6.274648019637634e-05
